round,client,n_train_samples,local_train_loss,local_test_accuracy,local_test_precision,local_test_recall,local_test_f1,local_test_auc,local_test_specificity,local_test_sensitivity,local_test_balanced_accuracy,size_weight,performance_weight,adaptive_weight
9,3,4702,0.33526502920656787,0.8311008416493648,0.15521861087125283,0.2184738876261045,0.10363047526436993,0.6586583304483612,,0.2184738876261045,,0.2500797787469418,0.2219961558931587,0.23659963977712592
10,0,4700,0.33655099649818576,0.8741711874623267,0.0883734656357502,0.14653901589511226,0.0863644197300465,0.6678690798165471,,0.14653901589511226,,0.24997340708435273,0.25,0.24998617168386345
10,1,4700,0.33429487254343876,0.8127302257049093,0.07973314887837847,0.256666848018771,0.09864789763268005,0.664161733768774,,0.256666848018771,,0.24997340708435273,0.25,0.24998617168386345
10,2,4700,0.3367864491177254,0.8871754515214431,0.11554313348807055,0.11621261352267238,0.08447303910371431,0.6669732260696531,,0.11621261352267238,,0.24997340708435273,0.25,0.24998617168386345
10,3,4702,0.3348670924601912,0.8701080525975041,0.13121923593860751,0.15640963401095212,0.09524539096877445,0.6670590514415994,,0.15640963401095212,,0.2500797787469418,0.25,0.2500414849484097
11,0,4700,0.33625531898063865,0.8664076976313263,0.13001810109397396,0.15477544746976418,0.09323224186690589,0.6706307346619875,,0.15477544746976418,,0.24997340708435273,0.1471791944532052,0.2006321850214019
11,1,4700,0.3335432108973159,0.8207002210166767,0.1169884825555774,0.22835710515207355,0.10062436364156868,0.6604274762932043,,0.22835710515207355,,0.24997340708435273,0.2064903911443163,0.22910155943313526
11,2,4700,0.3364252552694204,0.8349211930435559,0.11769143165246754,0.21014301709313782,0.09950634208781899,0.6728396252373822,,0.21014301709313782,,0.24997340708435273,0.1471791944532052,0.2006321850214019
11,3,4702,0.33429275888974974,0.8523597437099547,0.12378742419461922,0.18338410227316038,0.10225192684817884,0.6681898073242897,,0.18338410227316038,,0.2500797787469418,0.49915121994927325,0.3696340705240609
12,0,4700,0.3356835916334269,0.7987129685441922,0.08327194184364127,0.2631993051547902,0.11906369866361409,0.6728497729022885,,0.2631993051547902,,0.24997340708435273,0.5001775303920366,0.370071386272041
12,1,4700,0.33329526798254777,0.8442334739803095,0.14294205887036424,0.21144400518989012,0.10644449666581969,0.6681597218124447,,0.21144400518989012,,0.24997340708435273,0.19552907642137546,0.22384012836612366
